Code;Date;Precipitation;DryBulbTemp;WetBulbTemp;MaxTemp;MinTemp;Humidity;PressureStation;PressureSea;WindDirection;WindSpeed;Insolation;Cloudiness;Evaporation;AvgCompTemp;AvgRelHumidity;AvgWindSpeed
83552;01/01/1961 00:00:00;;;;31.4;;;;;;;4.5;;;26.56;78.75;3.333333
83552;01/01/1961 12:00:00;;26.6;24.3;;24.2;82;991.9;;36;5;;7;;;;
83552;01/01/1961 18:00:00;;30.6;25.2;;;63;991;;36;3;;10;;;;
83552;02/01/1961 00:00:00;;25.3;23.4;33.4;;85;981.8;;27;2;7.3;9;;26.48;81.25;1
83552;02/01/1961 12:00:00;1.6;26.6;24.2;;22.4;82;992.3;;36;1;;9;;;;
83552;02/01/1961 18:00:00;;32.8;25.4;;;53;991.1;;32;1;;9;;;;
83552;03/01/1961 00:00:00;;25;24.4;32.7;;95;989.5;;27;1;3.5;9;;27.98;78.25;1
83552;03/01/1961 12:00:00;7.4;25.4;23.9;;24.2;88;991.1;;32;1;;10;;;;
83552;03/01/1961 18:00:00;;29.2;26;;;77;989.8;;36;1;;10;;;;
83552;04/01/1961 00:00:00;;28.8;25.4;34.8;;74;988;;5;1;7.8;9;;28.72;66;3
83552;04/01/1961 12:00:00;5.2;25;21;;24.6;68;993.1;;18;8;;10;;;;
83552;04/01/1961 18:00:00;;33.4;26.1;;;54;990.4;;0;0;;9;;;;
83552;05/01/1961 00:00:00;;29.6;25.6;33.8;;71;988.8;;5;1;7.9;4;;28.56;69.5;2
83552;05/01/1961 12:00:00;0.6;26;24.2;;25;86;991;;36;1;;10;;;;
83552;05/01/1961 18:00:00;;32;25.9;;;60;988.8;;27;4;;10;;;;
83552;06/01/1961 00:00:00;;29;24.2;33.9;;66;985.9;;36;1;3.9;1;;25.46;77.25;2.666667
83552;06/01/1961 12:00:00;0;26.3;24.3;;21.9;84;992.3;;5;1;;10;;;;
83552;06/01/1961 18:00:00;;33.5;26;;;53;989.5;;27;7;;9;;;;
83552;07/01/1961 00:00:00;;22.6;21;29.9;;86;991.4;;0;0;5.5;1;;25.02;76.5;1
83552;07/01/1961 12:00:00;8;21.4;20.6;;20.6;93;993.4;;27;1;;10;;;;
83552;07/01/1961 18:00:00;;28.4;23.2;;;63;992.8;;36;2;;9;;;;
83552;08/01/1961 00:00:00;;26.6;23.4;32.8;;75;991.1;;0;0;6.5;2;;27.82;70.75;1.666667
83552;08/01/1961 12:00:00;0;26.1;23.2;;22.4;77;992.7;;9;1;;8;;;;
83552;08/01/1961 18:00:00;;31;25;;;60;992.3;;5;1;;10;;;;
83552;09/01/1961 00:00:00;;28.9;25.1;35.6;;73;981.8;;14;3;11.5;1;;29.62;71.5;1
83552;09/01/1961 12:00:00;0;27.7;25.8;;25.2;85;992.4;;9;1;;6;;;;
83552;09/01/1961 18:00:00;;34.5;26.8;;;53;989.5;;9;1;;9;;;;
83552;10/01/1961 00:00:00;;29.8;26.2;36.3;;74;988.2;;9;1;10.1;1;;30.3;67.75;2.333333
83552;10/01/1961 12:00:00;0;28;25.4;;25.6;80;993;;5;2;;3;;;;
83552;10/01/1961 18:00:00;;34.8;25.8;;;47;991.1;;36;2;;9;;;;
83552;11/01/1961 00:00:00;;30.8;26.8;35.8;;72;990.8;;9;3;5.4;9;;27.96;81.75;0.666667
83552;11/01/1961 12:00:00;0;27.3;25.6;;24.3;87;992.6;;23;1;;10;;;;
83552;11/01/1961 18:00:00;;28.9;25.9;;;78;993.1;;36;1;;10;;;;
83552;12/01/1961 00:00:00;;26.2;23.8;38.6;;81;991.2;;0;0;10.5;10;;30.04;73;2
83552;12/01/1961 12:00:00;12.9;26.4;25.2;;24.8;91;992.7;;9;1;;9;;;;
83552;12/01/1961 18:00:00;;34.2;27;;;55;990.7;;5;4;;7;;;;
83552;13/01/1961 00:00:00;;30.2;26.4;36;;73;989.5;;9;1;12.2;1;;29.64;69;1.666667
83552;13/01/1961 12:00:00;0;28.1;25.7;;25.7;82;993.1;;9;2;;6;;;;
83552;13/01/1961 18:00:00;;35;26.6;;;50;990.6;;9;2;;8;;;;
83552;14/01/1961 00:00:00;;29.2;25.4;32.8;;72;989;;9;1;6.1;0;;27.8;77;1
83552;14/01/1961 12:00:00;0;26;23.8;;25;82;992.6;;5;1;;10;;;;
83552;14/01/1961 18:00:00;;31.2;25.2;;;60;992.2;;5;1;;9;;;;
83552;15/01/1961 00:00:00;;27.6;25.4;34.1;;83;990.2;;5;1;7.8;9;;28.46;73;1
83552;15/01/1961 12:00:00;1;26.4;24.6;;24.6;86;993.5;;5;1;;10;;;;
83552;15/01/1961 18:00:00;;33;25.6;;;54;992.8;;5;1;;7;;;;
83552;16/01/1961 00:00:00;;28.6;25.4;35.3;;76;990.6;;9;1;11.8;1;;29.86;65;1.666667
83552;16/01/1961 12:00:00;0;26.4;24.8;;25.6;87;994.3;;5;1;;8;;;;
83552;16/01/1961 18:00:00;;34.8;26.2;;;49;991.9;;36;2;;9;;;;
83552;17/01/1961 00:00:00;;31;25.4;34.6;;62;989.6;;36;2;8;1;;29.22;67.75;1.666667
83552;17/01/1961 12:00:00;0;27.4;24.8;;24.9;80;995.8;;5;1;;8;;;;
83552;17/01/1961 18:00:00;;32.6;25.5;;;55;994.3;;5;3;;9;;;;
83552;18/01/1961 00:00:00;;29.6;25.2;31.8;;68;993.5;;9;1;4.9;2;;27.24;86.75;1.666667
83552;18/01/1961 12:00:00;0;27;24.3;;24.6;79;998.4;;5;1;;10;;;;
83552;18/01/1961 18:00:00;;25.4;24.6;;;94;997.8;;32;3;;9;;;;
83552;19/01/1961 00:00:00;;26.4;24.8;34.6;;87;996.4;;32;1;10.6;10;;28.68;63;0.666667
83552;19/01/1961 12:00:00;8.2;26.1;24.6;;24.3;88;999.4;;0;0;;8;;;;
83552;19/01/1961 18:00:00;;33.9;25.1;;;46;997.5;;5;1;;5;;;;
83552;20/01/1961 00:00:00;;29.2;23.4;36;;59;995.4;;5;1;12.4;0;;30.12;61.75;2.333333
83552;20/01/1961 12:00:00;0;28.2;24.5;;25.6;73;997.6;;5;3;;1;;;;
83552;20/01/1961 18:00:00;;35;26.3;;;48;995.5;;5;3;;7;;;;
83552;21/01/1961 00:00:00;;30.4;25;37.9;;63;994;;5;1;11;0;;31.26;60.5;0.666667
83552;21/01/1961 12:00:00;0;28.6;24.6;;25.4;71;997.5;;0;0;;1;;;;
83552;21/01/1961 18:00:00;;35.6;26.1;;;45;994.6;;36;1;;9;;;;
83552;22/01/1961 00:00:00;;32.2;26.6;32.6;;63;993.2;;14;1;2.3;10;;27.72;84;1
83552;22/01/1961 12:00:00;4;26.6;25.1;;25.4;88;996.8;;9;1;;9;;;;
83552;22/01/1961 18:00:00;;25.9;23.9;;;84;994.7;;14;2;;10;;;;
83552;23/01/1961 00:00:00;;27;24.7;32;;82;993.6;;0;0;2.1;10;;26.92;88.5;0.666667
83552;23/01/1961 12:00:00;1;27;25;;25;84;995.4;;0;0;;9;;;;
83552;23/01/1961 18:00:00;;27.5;25.5;;;84;993.8;;9;1;;9;;;;
83552;24/01/1961 00:00:00;;25.3;24.4;32.6;;93;993.1;;14;1;3.5;10;;26.6;87.25;1.666667
83552;24/01/1961 12:00:00;0.8;25.6;25;;24.4;95;995.5;;5;1;;10;;;;
83552;24/01/1961 18:00:00;;29.8;26.2;;;74;993.6;;9;3;;10;;;;
83552;25/01/1961 00:00:00;;25.2;24;31.8;;90;994;;14;1;4.2;10;;26.08;87.75;1
83552;25/01/1961 12:00:00;0;24.6;24;;23.8;95;995.8;;9;1;;10;;;;
83552;25/01/1961 18:00:00;;30.1;25.6;;;68;994.7;;32;2;;9;;;;
83552;26/01/1961 00:00:00;;25.1;24.4;29.6;;94;994;;0;0;2.6;10;;25.16;90.5;0.666667
83552;26/01/1961 12:00:00;20.2;24.4;24;;23.8;97;996.8;;14;1;;8;;;;
83552;26/01/1961 18:00:00;;28.4;25.6;;;79;996.2;;32;1;;7;;;;
83552;27/01/1961 00:00:00;;24;23.2;31.4;;93;996.2;;0;0;11.8;0;;25.34;62.5;3.333333
83552;27/01/1961 12:00:00;1.6;21.9;18.6;;20.6;72;997.8;;14;6;;1;;;;
83552;27/01/1961 18:00:00;;29.6;22.1;;;50;997;;5;3;;7;;;;
83552;28/01/1961 00:00:00;;26.4;21.6;33.4;;64;995.5;;14;1;12.1;1;;26.58;63.25;1.333333
83552;28/01/1961 12:00:00;0;23.5;21.5;;21.2;83;997.1;;5;1;;2;;;;
83552;28/01/1961 18:00:00;;31.2;21.4;;;38;996;;14;3;;4;;;;
83552;29/01/1961 00:00:00;;27.4;12.8;35;;66;995.1;;0;0;11.8;0;;27.92;63;1.666667
83552;29/01/1961 12:00:00;0;24.8;22.6;;22.8;82;997.6;;36;1;;8;;;;
83552;29/01/1961 18:00:00;;33.8;23.6;;;40;995.8;;32;1;;7;;;;
83552;30/01/1961 00:00:00;;28.5;23.6;36.2;;65;994.3;;9;3;9.9;3;;28.42;54.75;2.666667
83552;30/01/1961 12:00:00;0;23.7;23;;23;94;996.8;;5;3;;10;;;;
83552;30/01/1961 18:00:00;;35.2;23.2;;;33;994.7;;36;2;;6;;;;
83552;31/01/1961 00:00:00;;29.6;21.5;36.3;;46;992.6;;9;3;12.1;1;;30.12;62.5;1
83552;31/01/1961 12:00:00;0;28.5;24.4;;25.4;70;994.7;;5;1;;4;;;;
83552;31/01/1961 18:00:00;;35.3;26;;;46;992.8;;5;1;;7;;;;
83552;01/02/1961 00:00:00;;30.2;25.5;35.1;;67;991.1;;9;1;12;1;;29.48;66.25;2
83552;01/02/1961 12:00:00;0;27.2;24.2;;25.5;78;995.1;;0;0;;1;;;;
83552;01/02/1961 18:00:00;;34.2;26.2;;;51;993.4;;5;4;;8;;;;
83552;02/02/1961 00:00:00;;29.8;25.4;37.6;;68;991.8;;5;2;11.1;0;;30.92;62.5;0.666667
83552;02/02/1961 12:00:00;0;27.6;24.8;;25.6;79;996.8;;36;1;;4;;;;
83552;02/02/1961 18:00:00;;36.5;26.4;;;43;995.2;;36;1;;9;;;;
83552;03/02/1961 00:00:00;;31.9;26.5;32.9;;64;994.6;;0;0;4.4;9;;27.06;78.75;2
83552;03/02/1961 12:00:00;13.8;24.4;23.2;;22;90;999.2;;9;4;;10;;;;
83552;03/02/1961 18:00:00;;30.6;26.1;;;69;998.8;;36;1;;9;;;;
83552;04/02/1961 00:00:00;;28;25.1;36;;78;997;;27;1;9.9;9;;27.72;74.5;1
83552;04/02/1961 12:00:00;0;25.4;24.2;;23.6;91;998.4;;5;1;;8;;;;
83552;04/02/1961 18:00:00;;34.8;26.2;;;49;996.2;;9;1;;9;;;;
83552;05/02/1961 00:00:00;;26.8;24.1;34.7;;79;996;;36;1;5.5;4;;26.36;74.25;0.333333
83552;05/02/1961 12:00:00;0;25.9;23.7;;22.6;83;996;;0;0;;10;;;;
83552;05/02/1961 18:00:00;;32.6;25.6;;;56;994.8;;36;1;;9;;;;
83552;06/02/1961 00:00:00;;24.3;21.7;34.4;;79;993.4;;0;0;10.2;9;;28.24;71.25;1
83552;06/02/1961 12:00:00;1;25.5;24.5;;22.9;92;996;;9;1;;9;;;;
83552;06/02/1961 18:00:00;;33;25.8;;;55;995.8;;0;0;;8;;;;
83552;07/02/1961 00:00:00;;29.2;24.8;35.8;;69;993.9;;5;2;11;1;;28.34;71.5;2.333333
83552;07/02/1961 12:00:00;0;26.9;24.7;;25;83;998.8;;9;1;;9;;;;
83552;07/02/1961 18:00:00;;33.6;25.6;;;51;997.4;;36;2;;9;;;;
83552;08/02/1961 00:00:00;;27;23.9;35;;76;997.4;;18;4;6.1;2;;26.84;78.5;3
83552;08/02/1961 12:00:00;0;27;24.4;;23.8;80;999.5;;9;1;;9;;;;
83552;08/02/1961 18:00:00;;32.2;24.6;;;52;997.6;;36;8;;9;;;;
83552;09/02/1961 00:00:00;;24.2;23.1;36.4;;91;997;;0;0;11.5;10;;28.72;69;3
83552;09/02/1961 12:00:00;2;26.4;24.5;;23.6;85;998;;14;3;;9;;;;
83552;09/02/1961 18:00:00;;35.4;25.9;;;45;996.3;;32;5;;9;;;;
83552;10/02/1961 00:00:00;;28.6;25;35.6;;73;995.1;;27;1;6.3;4;;29.12;67.25;1
83552;10/02/1961 12:00:00;0;26.8;24.4;;24.8;81;997.5;;27;1;;9;;;;
83552;10/02/1961 18:00:00;;34.9;25.8;;;46;994.8;;32;1;;9;;;;
83552;11/02/1961 00:00:00;;29.2;25.2;34.4;;71;993;;14;1;3.1;1;;27.36;85.5;1
83552;11/02/1961 12:00:00;0;27;25.2;;25;86;996.6;;14;1;;8;;;;
83552;11/02/1961 18:00:00;;29.6;25.8;;;72;995.4;;9;1;;10;;;;
83552;12/02/1961 00:00:00;;25.2;24.2;30.6;;92;994.7;;9;1;1.8;10;;25.6;83.25;1.666667
83552;12/02/1961 12:00:00;2.1;23.8;22.9;;22.4;92;994.2;;36;1;;9;;;;
83552;12/02/1961 18:00:00;;29.4;25.3;;;71;993.9;;27;3;;10;;;;
83552;13/02/1961 00:00:00;;25.6;23.8;34.4;;85;992.6;;27;1;8.4;10;;28.02;65.5;2
83552;13/02/1961 12:00:00;1.8;24.3;22.9;;23.4;88;994.8;;27;2;;9;;;;
83552;13/02/1961 18:00:00;;32.4;25.8;;;58;993.4;;9;2;;9;;;;
83552;14/02/1961 00:00:00;;29;23;36.4;;58;993;;14;2;12;0;;29.54;58.25;1.333333
83552;14/02/1961 12:00:00;0;26.9;24.6;;22.8;83;995.9;;36;1;;1;;;;
83552;14/02/1961 18:00:00;;35.1;24.9;;;42;994.7;;5;1;;8;;;;
83552;15/02/1961 00:00:00;;30.8;23.8;35.4;;54;993.1;;9;2;11.9;0;;29.88;53;3
83552;15/02/1961 12:00:00;0;28.4;22.7;;25.6;60;997.9;;14;3;;2;;;;
83552;15/02/1961 18:00:00;;34.4;23.8;;;38;996.2;;18;4;;6;;;;
83552;16/02/1961 00:00:00;;30;23.7;35.5;;57;994;;14;2;11.1;0;;29.6;55.5;2
83552;16/02/1961 12:00:00;0;27.4;23;;24.7;68;996.6;;14;1;;2;;;;
83552;16/02/1961 18:00:00;;34.6;24.2;;;40;994.8;;18;4;;7;;;;
83552;17/02/1961 00:00:00;;30.2;23.8;35.2;;57;992.6;;14;1;7.6;2;;28.58;68.75;1.333333
83552;17/02/1961 12:00:00;0;26.4;23.2;;24.1;75;995.2;;36;1;;4;;;;
83552;17/02/1961 18:00:00;;33.6;25.4;;;50;993.5;;5;3;;10;;;;
83552;18/02/1961 00:00:00;;28.6;25.2;34.5;;75;992;;0;0;9.6;10;;29.04;66.25;1.333333
83552;18/02/1961 12:00:00;0;27.3;24.6;;25;80;995.8;;36;1;;9;;;;
83552;18/02/1961 18:00:00;;33.2;25.6;;;53;994.7;;32;2;;10;;;;
83552;19/02/1961 00:00:00;;29.2;24.4;35;;66;991.8;;9;1;7.2;0;;27.54;79.25;2.666667
83552;19/02/1961 12:00:00;0;27.6;24.6;;24.7;78;995.4;;36;1;;3;;;;
83552;19/02/1961 18:00:00;;30;24.6;;;63;993.8;;27;6;;10;;;;
83552;20/02/1961 00:00:00;;25.2;23.8;33.1;;88;992.7;;23;1;7.3;10;;27.82;74;1.666667
83552;20/02/1961 12:00:00;1.2;25.8;24.4;;23.4;89;994.6;;23;1;;3;;;;
83552;20/02/1961 18:00:00;;30;24.3;;;61;992.8;;36;3;;9;;;;
83552;21/02/1961 00:00:00;;28.4;24.7;36.2;;73;991.4;;9;1;10.8;8;;29.02;69;0.666667
83552;21/02/1961 12:00:00;0;26.8;24.6;;24.5;83;993.9;;36;1;;8;;;;
83552;21/02/1961 18:00:00;;33.2;25.4;;;51;991.5;;32;1;;9;;;;
83552;22/02/1961 00:00:00;;28.8;24.9;34.8;;71;990.7;;0;0;7.6;9;;28.26;72.25;3
83552;22/02/1961 12:00:00;0;26.2;23.8;;25.1;81;994.4;;36;2;;9;;;;
83552;22/02/1961 18:00:00;;33.7;25.3;;;48;993.1;;32;4;;9;;;;
83552;23/02/1961 00:00:00;;27.6;25;31.8;;80;992.3;;14;3;1.8;9;;25.06;92.75;1
83552;23/02/1961 12:00:00;0;26.5;24.6;;21;85;994.6;;5;1;;10;;;;
83552;23/02/1961 18:00:00;;25;23.5;;;88;993.6;;14;1;;10;;;;
83552;24/02/1961 00:00:00;;23;22.9;29.5;;99;993.6;;32;1;0.8;10;;25.22;96.25;0.666667
83552;24/02/1961 12:00:00;34.6;23.8;23.4;;22.8;97;994.2;;0;0;;10;;;;
83552;24/02/1961 18:00:00;;29.1;29.1;;;100;993;;36;1;;10;;;;
83552;25/02/1961 00:00:00;;25;24.2;32.9;;94;991;;27;1;11.2;10;;27.84;75;2.666667
83552;25/02/1961 12:00:00;5.3;26;24.5;;24.3;88;993.6;;5;2;;9;;;;
