Code;Date;Precipitation;MaxTemp;MinTemp;Insolation;Year;Month;Day;Latitude;Longitude;Altitude;Humidity0;Humidity12;Humidity18;Pressure0;Pressure12;Pressure18;WindDirection0;WindDirection12;WindDirection18;WindSpeed0;WindSpeed12;WindSpeed18;Cloudiness0;Cloudiness12;Cloudiness18;AvgHumidity;AvgPressure;AvgCloudiness;AvgWindSpeed;WindDirection
83883;2021-01-01;2.9;26.7;21.4;0.5;2021;1;1;-27.11;-52.61;679.01;88.0;79.0;81.0;935.2;936.8;934.7;7;7;5;1.0;1.0;1.0;10.0;10.0;10.0;82.66666666666667;935.5666666666666;10.0;1.0;7
83883;2021-01-02;55;21.6;19.6;0;2021;1;2;-27.11;-52.61;679.01;96.0;98.0;98.0;939.2;940.6;939.8;7;0;5;2.0;1.0;1.0;10.0;10.0;10.0;97.33333333333333;939.8666666666668;10.0;1.3333333333333333;7
83883;2021-01-03;0;28.4;15.6;8.8;2021;1;3;-27.11;-52.61;679.01;71.0;69.0;50.0;943.4;944.3;940.3;2;1;2;1.0;1.0;1.0;0.0;1.0;1.0;63.333333333333336;942.6666666666666;0.6666666666666666;1.0;2
83883;2021-01-04;0;31;19.2;10.5;2021;1;4;-27.11;-52.61;679.01;89.0;81.0;53.0;943.0;943.0;940.2;2;1;5;1.0;1.02888;2.05776;2.0;2.5;3.75;74.33333333333333;942.0666666666666;2.75;1.3622133333333333;2
83883;2021-01-05;0;21.4;3;9.1;2021;1;5;-27.11;-52.61;679.01;72.0;97.0;48.0;945.1;945.8;943.1;3;2;7;1.02888;1.0;1.0;0.0;0.0;0.0;72.33333333333333;944.6666666666666;0.0;1.0096266666666667;3
83883;2021-01-06;0.1;17.3;8.6;1.8;2021;1;6;-27.11;-52.61;679.01;96.0;97.0;77.0;939.5;939.4;935.6;8;2;4;0.0;1.0;1.0;0.0;10.0;10.0;90.0;938.1666666666666;6.666666666666667;0.6666666666666666;2
83883;2021-01-07;0;24.6;13.6;9.3;2021;1;7;-27.11;-52.61;679.01;84.0;79.0;46.0;945.1;948.3;947.0;2;1;0;1.0;1.0;2.0;5.0;1.0;3.0;69.66666666666667;946.8000000000001;3.0;1.3333333333333333;2
83883;2021-01-08;0;25;16.5;3.4;2021;1;8;-27.11;-52.61;679.01;61.0;60.0;62.0;941.8;942.7;941.2;0;0;5;1.0;4.0;2.0;0.0;3.0;7.0;61.0;941.9;3.3333333333333335;2.3333333333333335;0
83883;2021-01-09;1.6;19.8;12.4;4.2;2021;1;9;-27.11;-52.61;679.01;96.0;98.0;71.0;942.2;946.7;944.0;0;8;3;1.0;0.0;1.0;10.0;10.0;6.0;88.33333333333333;944.3000000000001;8.666666666666666;0.6666666666666666;0
83883;2021-01-10;0;24.6;11.8;9.5;2021;1;10;-27.11;-52.61;679.01;76.0;80.0;56.0;941.1;945.0;943.0;3;3;2;4.0;2.0;2.0;0.0;0.0;3.0;70.66666666666667;943.0333333333333;1.0;2.6666666666666665;3
83883;2021-01-11;0;31.2;21.7;3.8;2021;1;11;-27.11;-52.61;679.01;74.0;69.0;42.0;935.4;935.2;932.8;8;7;7;0.0;4.0;5.0;3.0;9.0;8.0;61.666666666666664;934.4666666666666;6.666666666666667;3.0;7
83883;2021-01-12;0;27.8;13.8;10.5;2021;1;12;-27.11;-52.61;679.01;67.0;67.0;58.0;941.2;943.5;942.2;1;1;0;2.0;1.0;1.0;0.0;1.0;4.0;64.0;942.3000000000001;1.6666666666666667;1.3333333333333333;1
