Code;Date;Precipitation;MaxTemp;MinTemp;Insolation;Year;Month;Day;Latitude;Longitude;Altitude;Humidity0;Humidity12;Humidity18;Pressure0;Pressure12;Pressure18;WindDirection0;WindDirection12;WindDirection18;WindSpeed0;WindSpeed12;WindSpeed18;Cloudiness0;Cloudiness12;Cloudiness18;AvgHumidity;AvgPressure;AvgCloudiness;AvgWindSpeed;WindDirection
83373;1994-01-05;0;23.3;14.8;2.2;1994;1;5;-15.93;-47.88;1100.57;89.0;90.0;73.0;895.5;898.0;895.5;3;3;3;1.1;2.4;2.0;0.0;10.0;7.0;84.0;896.3333333333334;5.666666666666667;1.8333333333333333;3
83373;1994-01-06;0;25.5;13;9.5;1994;1;6;-15.93;-47.88;1100.57;90.0;87.0;58.0;896.1;897.6;895.1;1;1;7;1.3;3.3;1.5;0.0;4.0;4.0;78.33333333333333;896.2666666666668;2.6666666666666665;2.033333333333333;1
83373;1994-01-07;0;23.7;13.1;5.8;1994;1;7;-15.93;-47.88;1100.57;82.0;82.0;63.0;897.6;898.3;895.3;2;2;2;1.8;4.2;2.8;5.0;8.0;5.0;75.66666666666667;897.0666666666666;6.0;2.9333333333333336;2
83373;1994-01-08;0;26;9.8;10;1994;1;8;-15.93;-47.88;1100.57;54.0;49.0;29.0;897.3;897.2;894.4;2;1;1;1.6;3.3;4.5;0.0;1.0;1.0;44.0;896.3000000000001;0.6666666666666666;3.1333333333333333;2
83373;1994-01-09;0;30.5;14.4;7.6;1994;1;9;-15.93;-47.88;1100.57;46.0;38.0;21.0;894.6;896.2;893.5;2;1;3;2.2;3.6;2.0;0.0;4.0;5.0;35.0;894.7666666666668;3.0;2.6;2
83373;1994-01-10;0;31.7;12.6;10.8;1994;1;10;-15.93;-47.88;1100.57;37.0;28.0;18.0;892.4;893.2;890.8;2;1;3;2.3;2.4;2.3;2.0;0.0;2.0;27.666666666666668;892.1333333333332;1.3333333333333333;2.333333333333333;2
83373;1994-01-11;1.5;31.7;16.4;11.7;1994;1;11;-15.93;-47.88;1100.57;61.0;63.0;28.0;895.9;895.5;892.4;3;2;2;2.2;3.8;3.3;0.0;1.0;2.0;50.666666666666664;894.6;1.0;3.1;3
83373;1994-01-12;39.9;21.2;17.1;0;1994;1;12;-15.93;-47.88;1100.57;81.0;96.0;89.0;893.0;894.8;894.4;3;3;8;2.2;1.9;0.0;8.0;10.0;10.0;88.66666666666667;894.0666666666666;9.333333333333334;1.3666666666666665;3
83373;1994-02-04;4.6;27.1;16.2;5;1994;2;4;-15.93;-47.88;1100.57;87.0;80.0;71.0;894.9;894.2;890.5;8;6;0;0.0;2.9;4.5;1.0;1.0;3.0;79.33333333333333;893.1999999999999;1.6666666666666667;2.466666666666667;6
83373;1994-02-05;0;24.7;12.7;9.4;1994;2;5;-15.93;-47.88;1100.57;94.0;82.0;61.0;897.6;898.4;895.7;3;2;2;1.3;3.6;2.0;0.0;6.0;6.0;79.0;897.2333333333332;4.0;2.3000000000000003;3
83373;1994-02-06;0;26.3;13.1;9.6;1994;2;6;-15.93;-47.88;1100.57;88.0;67.0;42.0;896.1;896.9;895.0;1;2;3;1.4;2.8;1.6;2.0;2.0;4.0;65.66666666666667;896.0;2.6666666666666665;1.933333333333333;1
83373;1994-02-07;0;24.7;12.3;6.3;1994;2;7;-15.93;-47.88;1100.57;79.0;93.0;64.0;897.3;898.4;895.7;3;2;1;2.5;3.3;2.1;4.0;10.0;4.0;78.66666666666667;897.1333333333332;6.0;2.6333333333333333;3
83373;1994-02-08;0;27.2;10.9;10.1;1994;2;8;-15.93;-47.88;1100.57;50.0;42.0;29.0;896.4;897.5;894.3;2;0;7;1.7;1.1;1.2;0.0;1.0;1.0;40.333333333333336;896.0666666666666;0.6666666666666666;1.3333333333333333;2
83373;1994-02-09;0;31.1;13;10;1994;2;9;-15.93;-47.88;1100.57;42.0;43.0;18.0;894.6;896.2;892.7;3;1;3;1.3;1.9;2.2;4.0;5.0;2.0;34.333333333333336;894.5;3.6666666666666665;1.8;3
83373;1994-02-10;0;31.8;14;9.2;1994;2;10;-15.93;-47.88;1100.57;31.0;23.0;20.0;892.2;894.2;889.1;1;1;2;2.0;2.9;2.6;2.0;0.0;0.0;24.666666666666668;891.8333333333334;0.6666666666666666;2.5;1
83373;1994-02-11;0;31.6;19;11;1994;2;11;-15.93;-47.88;1100.57;52.0;48.0;31.0;893.4;891.5;888.8;4;2;2;1.4;2.4;2.6;0.0;1.0;5.0;43.666666666666664;891.2333333333332;2.0;2.1333333333333333;4
