Code;Date;Precipitation;DryBulbTemp;WetBulbTemp;MaxTemp;MinTemp;Humidity;PressureStation;PressureSea;WindDirection;WindSpeed;Insolation;Cloudiness;Evaporation;AvgCompTemp;AvgRelHumidity;AvgWindSpeed
83883;01/07/1973 00:00:00;;;;20.2;;;;;;;0;;0.1;15.68;96;2.333333
83883;01/07/1973 12:00:00;;15;14.8;;14.2;98;941.6;;32;3;;10;;;;
83883;01/07/1973 18:00:00;;16;15.4;;;94;938.2;;27;3;;10;;;;
83883;02/07/1973 00:00:00;;14.5;14.2;16.2;;96;940.2;;9;1;1.8;10;0.1;13.32;94.5;1
83883;02/07/1973 12:00:00;20.8;12.4;12.2;;11.8;97;943.1;;9;1;;10;;;;
83883;02/07/1973 18:00:00;;16.2;14.4;;;81;942.4;;9;1;;9;;;;
83883;03/07/1973 00:00:00;;13.1;13.1;18;;100;944;;18;1;4.8;10;0.8;13.78;87.25;1.666667
83883;03/07/1973 12:00:00;0;12.9;12.5;;12;95;944.6;;5;1;;10;;;;
83883;03/07/1973 18:00:00;;16.4;13.8;;;74;943.6;;32;3;;3;;;;
83883;04/07/1973 00:00:00;;13;12.2;22;;90;945;;9;1;10.1;0;1.3;15.68;69.25;3
83883;04/07/1973 12:00:00;0;13;11.6;;11.4;84;944.4;;9;3;;0;;;;
83883;04/07/1973 18:00:00;;21.6;14.8;;;45;944;;36;3;;0;;;;
83883;05/07/1973 00:00:00;;16;13.4;21.6;;74;943.8;;9;3;2.7;0;3.5;16.28;77;2.333333
83883;05/07/1973 12:00:00;0;13.4;12.7;;11.4;92;945.8;;9;3;;3;;;;
83883;05/07/1973 18:00:00;;21;17;;;66;944.7;;9;1;;9;;;;
83883;06/07/1973 00:00:00;;17.5;15;25.2;;75;945.5;;9;3;8.1;7;3.6;18.04;63;3
83883;06/07/1973 12:00:00;0;14.7;12.9;;12.9;81;946.3;;9;3;;4;;;;
83883;06/07/1973 18:00:00;;24.9;17.8;;;47;943.4;;5;3;;8;;;;
83883;07/07/1973 00:00:00;;18.7;14.5;23.9;;62;943.4;;5;3;2.7;8;5.9;19.62;65.25;6.333333
83883;07/07/1973 12:00:00;0;16.6;13.8;;15.6;75;942;;5;5;;8;;;;
83883;07/07/1973 18:00:00;;22.6;17.4;;;58;938.8;;36;5;;6;;;;
83883;08/07/1973 00:00:00;;21;16.8;27;;64;939.4;;36;9;9.3;6;4.4;22.02;63.75;7.666667
83883;08/07/1973 12:00:00;0;20;17;;18.7;74;941.6;;36;9;;3;;;;
83883;08/07/1973 18:00:00;;26.7;19.5;;;49;939.6;;36;9;;3;;;;
83883;09/07/1973 00:00:00;;22.2;18;27;;66;939.6;;5;5;9.2;0;3;22.62;57.75;5
83883;09/07/1973 12:00:00;0;21.1;16.4;;20.6;60;938.4;;36;7;;0;;;;
83883;09/07/1973 18:00:00;;26.9;19.6;;;49;938.4;;36;7;;4;;;;
83883;10/07/1973 00:00:00;;22.2;17.4;27.2;;61;939.8;;36;1;9.3;0;2.6;22.2;63.25;3.666667
83883;10/07/1973 12:00:00;0;20.3;16.8;;19.3;70;944.2;;36;3;;1;;;;
83883;10/07/1973 18:00:00;;26.7;19.8;;;51;941.1;;36;5;;1;;;;
83883;11/07/1973 00:00:00;;22.1;18;26.9;;66;942.7;;36;3;9.6;0;4;21.64;56.25;5.666667
83883;11/07/1973 12:00:00;0;20.2;16.4;;18.3;67;944.4;;36;7;;0;;;;
83883;11/07/1973 18:00:00;;26.6;18.1;;;42;942.2;;36;7;;0;;;;
83883;12/07/1973 00:00:00;;21.4;16.4;25.3;;58;943.6;;5;3;9.4;0;1.4;19.54;55.25;3.666667
83883;12/07/1973 12:00:00;0;16.7;14.3;;15.7;76;943.9;;9;1;;0;;;;
